SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6*,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Protein,Moisture,Exclude
2130031s7,1.97112,1.92985,1.89593,1.86707,1.84201,1.82025,1.7997,1.78239,1.77343,1.77676,1.79566,1.82985,1.86638,1.88385,1.87751,1.86849,1.88539,1.94559,2.04416,2.14961,2.21903,2.2427,2.2386,2.21847,2.18785,2.15346,2.11974,2.08655,2.05379,2.02504,2.00291,1.98865,1.98318,1.98825,2.0136,2.08198,2.21168,2.37476,13.29,10.29,N
2130855s8,2.00101,1.95417,1.91496,1.88122,1.85344,1.82946,1.80656,1.7881,1.77792,1.77991,1.79858,1.83259,1.86889,1.88628,1.88171,1.87731,1.90239,1.97261,2.07776,2.18385,2.25172,2.27317,2.26589,2.24227,2.20847,2.17125,2.135,2.10011,2.06636,2.03734,2.01629,2.00413,2.00149,2.00943,2.03844,2.1129,2.25334,2.42849,12.82,11.93,N
2131630s4,2.27346,2.22535,2.18479,2.14919,2.11727,2.08797,2.05944,2.03431,2.01885,2.0187,2.03811,2.07619,2.11844,2.13853,2.12718,2.10933,2.12177,2.18924,2.31091,2.44756,2.53751,2.56432,2.55292,2.52184,2.47957,2.43516,2.39275,2.35191,2.31133,2.27445,2.24386,2.22142,2.20844,2.20823,2.23226,2.30589,2.45142,2.63722,7.84,8.2,N
2140279s8,2.0331,1.99048,1.95489,1.92608,1.90116,1.87915,1.8575,1.83882,1.82898,1.83266,1.85391,1.89258,1.93405,1.95379,1.94733,1.93813,1.95691,2.02237,2.13007,2.24678,2.32664,2.35562,2.353,2.33206,2.29838,2.25958,2.22109,2.1833,2.14681,2.11481,2.08995,2.07379,2.06755,2.07254,2.09932,2.1718,2.31063,2.48279,15.1,10.48,N
2131136s8,1.74506,1.71461,1.6904,1.67141,1.6553,1.64168,1.62839,1.61732,1.61441,1.62401,1.64954,1.69032,1.7331,1.75598,1.75391,1.74893,1.7709,1.83743,1.94271,2.05361,2.12753,2.15318,2.14921,2.12872,2.09744,2.06244,2.02816,1.99488,1.96218,1.9338,1.91208,1.89867,1.8942,1.90048,1.92702,1.99723,2.12997,2.2952,12.54,10.5,N
2130167s10,2.30322,2.24566,2.1971,2.15555,2.11834,2.08473,2.05288,2.02514,2.00723,2.00383,2.01895,2.05223,2.08928,2.10518,2.09342,2.07738,2.08982,2.1516,2.25937,2.37903,2.4602,2.4884,2.48401,2.4607,2.42483,2.38417,2.34374,2.30413,2.26514,2.23025,2.20276,2.18417,2.17595,2.17996,2.20729,2.2828,2.42877,2.61012,14.07,9.9,N
2130070s9,2.44053,2.3827,2.33259,2.28849,2.24901,2.21323,2.17956,2.15084,2.13317,2.13112,2.14861,2.18493,2.22482,2.24115,2.22707,2.20839,2.22059,2.28722,2.40677,2.54001,2.62698,2.65315,2.64356,2.61408,2.5732,2.52888,2.48598,2.44409,2.40228,2.36411,2.33302,2.31068,2.29869,2.29987,2.32622,2.40347,2.55383,2.74035,10.99,8.39,N
2130788s8,1.8868,1.85232,1.82415,1.80062,1.78069,1.76324,1.74564,1.73044,1.72415,1.72911,1.75192,1.79098,1.83233,1.85239,1.84602,1.83587,1.85191,1.91418,2.02043,2.13712,2.21435,2.24018,2.23548,2.21363,2.18076,2.14432,2.10897,2.07444,2.04023,2.00962,1.98535,1.96936,1.96091,1.9642,1.98868,2.05738,2.18897,2.35352,12.96,9.27,N
2131363s9,2.00494,1.96835,1.93871,1.91377,1.8928,1.87442,1.85649,1.84127,1.83534,1.84379,1.87008,1.91368,1.95973,1.98297,1.97688,1.96652,1.98421,2.05271,2.16923,2.29701,2.38038,2.40728,2.4005,2.37501,2.33935,2.30011,2.26243,2.22588,2.18967,2.15686,2.13105,2.11263,2.1037,2.10626,2.13158,2.20382,2.34272,2.51575,10.86,8.81,N
2131188s5,1.795,1.76475,1.74075,1.72086,1.70378,1.68918,1.67506,1.66443,1.66056,1.67043,1.6966,1.73802,1.78166,1.80513,1.8027,1.79701,1.81933,1.88915,2.00161,2.11966,2.19396,2.21656,2.20678,2.18165,2.14772,2.11192,2.07785,2.0452,2.01249,1.98346,1.96087,1.94595,1.93962,1.94422,1.97014,2.0401,2.17312,2.34001,8.88,9.54,N
2130424s3,2.40877,2.35804,2.31482,2.27802,2.24687,2.2202,2.19445,2.17215,2.16076,2.1674,2.1969,2.24826,2.30423,2.33387,2.3276,2.31548,2.33946,2.42444,2.56333,2.71271,2.8116,2.84387,2.83488,2.80315,2.75861,2.70974,2.66231,2.61647,2.57146,2.53118,2.49932,2.47749,2.46669,2.46967,2.49893,2.58383,2.7509,2.95813,9.54,10.33,N
2131826s1,2.2697,2.22064,2.18005,2.14636,2.11738,2.09123,2.06512,2.04245,2.03051,2.03472,2.05896,2.10269,2.1508,2.17354,2.16563,2.15266,2.17021,2.24147,2.36369,2.4988,2.58908,2.61871,2.61179,2.58456,2.54453,2.50007,2.45674,2.4147,2.3736,2.33651,2.30655,2.28572,2.27567,2.2785,2.30565,2.38322,2.53437,2.72192,13.43,9.32,N
2130818s3,1.76139,1.72905,1.70275,1.68204,1.66565,1.65229,1.6396,1.62915,1.62665,1.63636,1.66179,1.70205,1.74455,1.76792,1.76692,1.76339,1.78669,1.85442,1.95879,2.067,2.13841,2.16253,2.15748,2.1362,2.10482,2.07022,2.03652,2.0041,1.97287,1.9456,1.92518,1.91256,1.9086,1.91442,1.93981,2.00759,2.13746,2.30105,11.35,11.01,N
2131854s4,2.14365,2.09753,2.0601,2.02901,2.00186,1.97774,1.95389,1.93344,1.92267,1.92712,1.95078,1.99301,2.03914,2.06331,2.05807,2.04832,2.06818,2.13967,2.25933,2.39069,2.47867,2.50761,2.50022,2.47286,2.43394,2.39158,2.35065,2.31144,2.27314,2.239,2.21173,2.19311,2.18438,2.18768,2.21408,2.28861,2.43354,2.61676,11.22,9.71,N
2130624s10,1.99249,1.94437,1.9039,1.86938,1.83937,1.81411,1.79103,1.77217,1.76205,1.7639,1.78203,1.81552,1.85083,1.86707,1.86222,1.85935,1.88645,1.9577,2.06051,2.16211,2.22711,2.24859,2.24353,2.22252,2.19059,2.15428,2.11849,2.08362,2.04954,2.02078,2.00052,1.98982,1.9888,1.99868,2.02976,2.10746,2.25087,2.4252,14.9,12.62,N
2140932s7,2.19798,2.14594,2.10175,2.06373,2.03017,1.99962,1.97024,1.94454,1.92809,1.925,1.93834,1.96805,2.00119,2.01516,2.00304,1.98663,1.99586,2.05266,2.15754,2.27576,2.35267,2.37457,2.36484,2.33772,2.30064,2.26077,2.22267,2.18607,2.15012,2.11725,2.09021,2.07088,2.06079,2.06197,2.08496,2.15284,2.28637,2.4562,11.51,8.4,N
2130506s2,1.92875,1.89209,1.86178,1.8358,1.81286,1.79185,1.77185,1.75502,1.74588,1.74744,1.76326,1.79294,1.82416,1.83645,1.82694,1.81509,1.82549,1.87489,1.96179,2.05774,2.12227,2.14549,2.14457,2.12896,2.10259,2.07198,2.04159,2.01118,1.98083,1.95373,1.93226,1.91779,1.91156,1.9151,1.93774,2.00027,2.11804,2.26298,15.52,9.29,N
2131541s4,2.20145,2.15657,2.11986,2.0892,2.06374,2.04268,2.0229,2.00659,2.00035,2.00948,2.03873,2.08735,2.139,2.16683,2.16497,2.16137,2.1925,2.27862,2.40809,2.5401,2.62561,2.65306,2.64476,2.6162,2.57551,2.52996,2.48562,2.44258,2.40081,2.36456,2.33778,2.32144,2.31619,2.32362,2.35572,2.44103,2.60453,2.80466,12.44,12.02,N
2130933s4,1.84352,1.80362,1.77165,1.74603,1.72494,1.70715,1.68948,1.67468,1.66892,1.67771,1.7044,1.74765,1.7939,1.81995,1.81952,1.81636,1.8424,1.91666,2.03146,2.15082,2.22893,2.25487,2.24795,2.22324,2.18835,2.15057,2.11418,2.07938,2.04565,2.01628,1.99419,1.98052,1.97612,1.98251,2.00997,2.08293,2.22238,2.39865,10.65,11.1,N
2130621s6,1.95875,1.91515,1.8794,1.84887,1.82185,1.79864,1.77479,1.75497,1.74393,1.74355,1.76451,1.79879,1.83601,1.85441,1.84851,1.83975,1.85862,1.92368,2.02951,2.14211,2.21525,2.23841,2.23088,2.20656,2.17262,2.13624,2.10103,2.06729,2.03392,2.00448,1.9818,1.96718,1.96135,1.96624,1.99234,2.063,2.19714,2.36636,10.87,10.31,N
2130420s3,2.06774,2.02273,1.98492,1.95177,1.92219,1.89526,1.86847,1.84468,1.82952,1.82749,1.84193,1.87279,1.90704,1.92209,1.91134,1.89628,1.90769,1.96559,2.06802,2.18198,2.25768,2.28234,2.27552,2.25123,2.21654,2.17858,2.14185,2.10636,2.07148,2.04036,2.0153,1.99783,1.98923,1.99154,2.01521,2.08329,2.21534,2.38307,11.18,9.34,N
2140096s1,2.79973,2.75939,2.72659,2.69937,2.67618,2.65654,2.63683,2.61978,2.61251,2.62168,2.65174,2.7017,2.75536,2.78419,2.78016,2.77152,2.7962,2.87716,3.00687,3.14423,3.23361,3.26129,3.25086,3.21963,3.1768,3.12941,3.08357,3.03891,2.99456,2.95479,2.92302,2.90029,2.88812,2.88957,2.91653,2.99588,3.15232,3.34235,9.84,10.42,N
2140453s9,1.79587,1.76062,1.73214,1.70955,1.69066,1.6744,1.6583,1.64461,1.63979,1.6482,1.67077,1.71387,1.75745,1.78108,1.77864,1.77238,1.79265,1.85901,1.96796,2.08563,2.16365,2.18929,2.18312,2.16049,2.12637,2.09028,2.05562,2.02251,1.99027,1.96156,1.93899,1.92394,1.91798,1.92167,1.94608,2.01403,2.14337,2.30768,12.77,9.85,N
2130623s7,1.98612,1.94416,1.9094,1.88174,1.85738,1.83726,1.81735,1.79972,1.79066,1.79583,1.8192,1.86029,1.90544,1.93117,1.93022,1.92603,1.9519,2.02755,2.14542,2.26801,2.34812,2.3732,2.36452,2.33587,2.29801,2.25712,2.21834,2.18184,2.14673,2.11625,2.09299,2.07851,2.07292,2.07809,2.10482,2.17785,2.31975,2.50116,9.59,11.42,N
2131963s2,2.15724,2.11143,2.07233,2.04039,2.0137,1.99053,1.96768,1.94875,1.9378,1.94276,1.96692,2.00969,2.05662,2.08138,2.07609,2.06577,2.08525,2.15695,2.27695,2.40775,2.49436,2.52301,2.51486,2.48879,2.44939,2.40712,2.36613,2.32668,2.2883,2.25394,2.22668,2.20829,2.20005,2.20391,2.23108,2.30717,2.45575,2.64341,11.52,9.89,N
2131714s8,1.97956,1.94197,1.91033,1.88347,1.86002,1.83935,1.81935,1.80255,1.795,1.80079,1.82336,1.86266,1.90407,1.92317,1.91476,1.90276,1.91895,1.984,2.09595,2.21787,2.29672,2.32135,2.31396,2.28919,2.25367,2.21586,2.17947,2.14442,2.10947,2.07753,2.05187,2.0341,2.02532,2.02802,2.05334,2.12488,2.26171,2.43154,10.97,8.67,N
2140517s5,2.06213,2.02353,1.99181,1.96569,1.94163,1.9188,1.89576,1.87556,1.86401,1.86572,1.88433,1.92002,1.95945,1.97781,1.96675,1.94891,1.95568,2.01088,2.11913,2.24685,2.33284,2.36113,2.35359,2.32811,2.29186,2.25252,2.21497,2.17887,2.14332,2.11005,2.08187,2.06057,2.04808,2.04724,2.06847,2.13416,2.26323,2.42674,10.56,7.03,N
2140388s5,2.05164,2.00681,1.96945,1.93744,1.90958,1.88465,1.86016,1.83914,1.82772,1.83098,1.85203,1.89008,1.93176,1.94999,1.94451,1.93083,1.94455,2.00811,2.12229,2.25133,2.33536,2.36137,2.3521,2.32392,2.28599,2.24579,2.20788,2.17177,2.13606,2.10373,2.07707,2.05774,2.04732,2.04841,2.0719,2.14114,2.27626,2.44888,10.2,7.91,N
2140961s2,2.05253,2.00779,1.96686,1.93171,1.90164,1.87585,1.85159,1.83094,1.81984,1.82291,1.84424,1.88323,1.92563,1.94657,1.94008,1.93039,1.95027,2.02007,2.13449,2.25614,2.33509,2.36035,2.3538,2.32952,2.29402,2.25484,2.21685,2.17997,2.14362,2.1113,2.08612,2.06966,2.06299,2.06822,2.09586,2.17149,2.31509,2.49234,12.25,9.92,N
