SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6*,Sp7*,Sp8*,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude
214071,1.86241,1.8229,1.79007,1.76046,1.73524,1.71699,1.69722,1.67489,1.66214,1.66317,1.68042,1.71291,1.74703,1.76179,1.75247,1.74121,1.75385,1.80774,1.8979,1.99663,2.06496,2.08999,2.08794,2.0695,2.03842,2.00236,1.96662,1.93176,1.8961,1.86475,1.84102,1.8259,1.81979,1.82376,1.84638,1.91388,2.04508,2.21696,16.1,10.1,N,N,N,N,N,N,N,N
2140847,2.18514,2.14222,2.10708,2.07771,2.05038,2.02539,2.0018,1.9825,1.97344,1.9793,2.00365,2.04625,2.09243,2.11608,2.10892,2.09586,2.11119,2.17868,2.29766,2.43036,2.51737,2.54412,2.53526,2.50739,2.46846,2.4264,2.38603,2.34726,2.30877,2.27387,2.24529,2.22475,2.21394,2.21532,2.23971,2.31127,2.45119,2.62735,11.56,11.6,Y,Y,Y,Y,Y,Y,Y,Y
2140577,2.2601,2.20847,2.16513,2.12758,2.09292,2.06093,2.03071,2.00507,1.98964,1.98937,2.00805,2.04486,2.08613,2.10671,2.09726,2.08178,2.09527,2.16161,2.27962,2.41178,2.49903,2.52496,2.51343,2.48211,2.44047,2.39654,2.35477,2.31519,2.27615,2.24094,2.21204,2.19115,2.17969,2.18051,2.20426,2.27569,2.41653,2.59762,8.22,9.23,N,N,N,N,N,N,N,N
214044,2.08868,2.04488,2.00747,1.97386,1.94471,1.92202,1.89764,1.87078,1.85346,1.85099,1.86522,1.89576,1.92893,1.94147,1.92679,1.90582,1.90672,1.95007,2.03868,2.14647,2.22297,2.25151,2.25115,2.23291,2.20113,2.16406,2.12728,2.09071,2.05282,2.01801,1.9901,1.97021,1.95911,1.9589,1.97776,2.04217,2.17114,2.34224,15.9,7.7,N,N,N,N,N,N,N,N
2120029,2.19831,2.15159,2.11251,2.07918,2.04811,2.01999,1.99366,1.97109,1.9576,1.95762,1.97479,2.00832,2.04562,2.0652,2.0606,2.05408,2.07738,2.14878,2.25797,2.36949,2.4408,2.46145,2.45037,2.42187,2.38343,2.34178,2.30172,2.26356,2.22698,2.19559,2.17202,2.15746,2.15242,2.1586,2.18561,2.25831,2.39939,2.57849,10.3,12.2,N,N,N,N,N,N,N,N
2121030,2.10577,2.05761,2.01801,1.985,1.95518,1.92858,1.90384,1.8836,1.87327,1.87783,1.90129,1.94276,1.98845,2.01395,2.01104,2.00402,2.02726,2.10175,2.22006,2.34543,2.42859,2.45523,2.44585,2.41698,2.37737,2.33427,2.29282,2.25357,2.21604,2.18327,2.15799,2.14167,2.13517,2.14005,2.16637,2.23946,2.38281,2.56662,9.3,11.4,N,N,N,N,N,N,N,N
2140999,2.09032,2.04341,2.00428,1.97074,1.93982,1.9115,1.88528,1.86364,1.85141,1.85247,1.87013,1.90405,1.94081,1.95762,1.94818,1.93502,1.94815,2.0077,2.1117,2.22707,2.30467,2.33067,2.32517,2.30188,2.26701,2.2283,2.19051,2.15377,2.11752,2.08546,2.05996,2.04246,2.03427,2.03719,2.06118,2.13042,2.2636,2.43355,12.89,9.07,N,N,N,N,N,N,N,N
2140023,1.87571,1.83801,1.80717,1.78205,1.75912,1.73874,1.72009,1.70533,1.69903,1.7052,1.72704,1.76383,1.80312,1.82406,1.82095,1.81527,1.83605,1.901,2.00272,2.11001,2.18145,2.20577,2.20054,2.17847,2.14554,2.10862,2.07263,2.03794,2.00432,1.97553,1.95395,1.94073,1.93666,1.94295,1.96855,2.03773,2.17003,2.33858,12.48,11.65,N,N,N,N,N,N,N,N
2140170,1.76388,1.72404,1.69153,1.66574,1.64262,1.62273,1.60426,1.58942,1.58246,1.58698,1.60613,1.6393,1.67519,1.69604,1.69859,1.70301,1.73535,1.80858,1.90837,2.00386,2.06435,2.08231,2.07323,2.04906,2.01515,1.97811,1.94259,1.90948,1.87871,1.85387,1.83696,1.82898,1.82999,1.84034,1.8681,1.93739,2.06896,2.23618,15.42,12.49,Y,Y,Y,Y,Y,Y,Y,Y
2140459,1.8618,1.82154,1.78922,1.76376,1.74123,1.72199,1.70422,1.69011,1.68515,1.69412,1.7205,1.76335,1.80966,1.8372,1.83916,1.83825,1.86639,1.94224,2.05686,2.1741,2.24999,2.27369,2.26477,2.23803,2.20091,2.16069,2.12197,2.08557,2.05112,2.02159,1.99938,1.98626,1.98274,1.98978,2.01669,2.0883,2.22677,2.40455,10.7,12.59,N,N,N,N,N,N,N,N
