SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Cal4,Product,Date,Time,SensTemp,SampTemp,ScanColour,Exclude,Exclude,
50B10A,2.33930,2.35080,2.37110,2.40670,2.45360,2.50150,2.53600,2.56430,2.60080,2.65530,2.73220,2.81990,2.92140,3.04350,3.13800,3.14650,3.18350,3.28630,3.35720,3.36960,3.35220,3.32140,3.28520,3.23980,3.18840,3.13190,3.06140,2.98670,2.92530,2.88820,2.87340,2.88010,2.90960,2.96140,3.05400,3.23800,3.55770,3.95400,51.50000,38.33000,48.50000,37.90000,50CL,7/07/2011,10:14:24,0.00,0.00,65280,N,N,
50B11A,2.04569,2.03828,2.04407,2.06990,2.10697,2.14503,2.17264,2.19475,2.22360,2.26665,2.32680,2.39470,2.47236,2.56298,2.62951,2.63342,2.65830,2.72731,2.77271,2.78004,2.76823,2.74829,2.72546,2.69700,2.66466,2.62903,2.58348,2.53458,2.49439,2.47057,2.46164,2.46714,2.48784,2.52411,2.59069,2.72529,2.95809,3.23461,55.00000,35.70000,45.00000,8.00000,11:17,-1,-177,0.00,0.00,65280,N,N,
50B11B,1.96703,1.95925,1.96388,1.98864,2.02440,2.06113,2.08729,2.10787,2.13479,2.17536,2.23214,2.29643,2.37021,2.45625,2.51959,2.52562,2.55288,2.62116,2.66391,2.66848,2.65457,2.63355,2.61076,2.58362,2.55346,2.52070,2.47896,2.43431,2.39772,2.37631,2.36900,2.37533,2.39612,2.43183,2.49663,2.62698,2.85245,3.11958,55.00000,35.70000,45.00000,8.00000,11:20,-1,-177,0.00,0.00,65280,N,N,
50B13A,2.51520,2.45510,2.43020,2.44200,2.47610,2.51620,2.54350,2.56430,2.59420,2.64210,2.71120,2.60940,2.69490,2.79620,2.88620,2.93050,3.00680,3.13080,3.20100,3.19780,3.15750,3.09950,3.03490,2.96350,2.89070,2.81970,2.74570,2.67620,2.62410,2.59810,2.59690,2.61870,2.66180,2.72380,2.82300,3.01050,3.32930,3.72010,39.60000,47.08000,60.40000,45.70000,50CL,6/28/2011,11:44:12,0.00,0.00,65280,N,N,
50B14A,2.25290,2.26600,2.28460,2.31830,2.36340,2.40990,2.44270,2.46840,2.50150,2.55150,2.62250,2.70450,2.80050,2.91670,3.01130,3.03190,3.08360,3.19740,3.27300,3.28550,3.26550,3.23050,3.18930,3.13930,3.08410,3.02540,2.95530,2.88290,2.82430,2.78990,2.77810,2.78780,2.81960,2.87260,2.96520,3.14820,3.46350,3.83950,39.60000,41.50000,60.40000,41.00000,50CL,6/29/2011,10:25:05,0.00,0.00,65280,Y,Y,
50B15A,2.26480,2.27720,2.29380,2.32520,2.36810,2.41280,2.44440,2.46830,2.49830,2.54260,2.60470,2.67550,2.75650,2.85490,2.94190,2.97920,3.05060,3.17440,3.25230,3.26320,3.23920,3.19770,3.14850,3.09070,3.02890,2.96570,2.89550,2.82570,2.76960,2.73670,2.72590,2.73640,2.76780,2.81900,2.90900,3.08800,3.39670,3.76470,43.60000,44.13000,56.40000,44.30000,50CL,7/05/2011,10:34:01,0.00,0.00,65280,Y,Y,
50B16A,2.36290,2.34340,2.34250,2.36660,2.40710,2.45120,2.48170,2.50530,2.53740,2.58730,2.65890,2.74060,2.83380,2.94590,3.04170,3.07870,3.15170,3.28220,3.36320,3.37100,3.34130,3.29340,3.23780,3.17370,3.10600,3.03750,2.96200,2.88830,2.83110,2.80050,2.79510,2.81320,2.85420,2.91680,3.02000,3.21650,3.54870,3.93930,44.60000,43.43000,55.40000,44.50000,50CL,6/30/2011,12:32:11,0.00,0.00,65280,N,N,
50B16A,2.55740,2.57770,2.60360,2.64480,2.69910,2.75680,2.79980,2.83400,2.87420,2.92930,3.00310,3.08520,3.17660,3.28640,3.39060,3.45330,3.55840,3.72300,3.82780,3.84510,3.81610,3.76230,3.69620,3.61850,3.53620,3.45350,3.36590,3.28210,3.21580,3.17710,3.16510,3.17850,3.21630,3.27690,3.38270,3.59570,3.97770,4.52530,36.70000,49.25000,63.30000,53.00000,50CL,7/04/2011,11:01:08,0.00,0.00,65280,N,N,
50B17A,2.40011,2.41412,2.43598,2.47438,2.52461,2.57624,2.61353,2.64326,2.68021,2.73346,2.80726,2.89187,2.98877,3.10375,3.19808,3.22448,3.28389,3.40293,3.47931,3.48958,3.46673,3.42918,3.38637,3.33587,3.28090,3.22298,3.15435,3.08361,3.02603,2.99145,2.97876,2.98728,3.01751,3.06852,3.15984,3.34097,3.64748,3.98427,14.80000,40.93000,85.20000,7.00000,1:36,-1,-173,0.00,0.00,65280,Y,Y,
50B17B,2.36241,2.37052,2.38900,2.42521,2.47344,2.52324,2.55945,2.58848,2.62482,2.67731,2.74997,2.83352,2.92902,3.04195,3.13387,3.15784,3.21293,3.32638,3.39938,3.40917,3.38722,3.35136,3.31080,3.26282,3.21053,3.15523,3.08953,3.02162,2.96658,2.93388,2.92202,2.93066,2.95985,3.00906,3.09680,3.27208,3.56990,3.90337,14.80000,40.93000,85.20000,7.00000,1:39,-1,-177,0.00,0.00,65280,Y,Y,
