SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Cal4,Product,Date,Time,SensTemp,SampTemp,ScanColour,Exclude
50B10A,2.3393,2.3508,2.3711,2.4067,2.4536,2.5015,2.536,2.5643,2.6008,2.6553,2.7322,2.8199,2.9214,3.0435,3.138,3.1465,3.1835,3.2863,3.3572,3.3696,3.3522,3.3214,3.2852,3.2398,3.1884,3.1319,3.0614,2.9867,2.9253,2.8882,2.8734,2.8801,2.9096,2.9614,3.054,3.238,3.5577,3.954,51.5,38.33,48.5,37.9,50CL,7/07/2011,10:14:24,0,0,65280,N
50B11A,2.04569,2.03828,2.04407,2.0699,2.10697,2.14503,2.17264,2.19475,2.2236,2.26665,2.3268,2.3947,2.47236,2.56298,2.62951,2.63342,2.6583,2.72731,2.77271,2.78004,2.76823,2.74829,2.72546,2.697,2.66466,2.62903,2.58348,2.53458,2.49439,2.47057,2.46164,2.46714,2.48784,2.52411,2.59069,2.72529,2.95809,3.23461,55,35.7,45,8,11:17,-1,-177,0,0,65280,N
50B11B,1.96703,1.95925,1.96388,1.98864,2.0244,2.06113,2.08729,2.10787,2.13479,2.17536,2.23214,2.29643,2.37021,2.45625,2.51959,2.52562,2.55288,2.62116,2.66391,2.66848,2.65457,2.63355,2.61076,2.58362,2.55346,2.5207,2.47896,2.43431,2.39772,2.37631,2.369,2.37533,2.39612,2.43183,2.49663,2.62698,2.85245,3.11958,55,35.7,45,8,11:20,-1,-177,0,0,65280,N
50B13A,2.5152,2.4551,2.4302,2.442,2.4761,2.5162,2.5435,2.5643,2.5942,2.6421,2.7112,2.6094,2.6949,2.7962,2.8862,2.9305,3.0068,3.1308,3.201,3.1978,3.1575,3.0995,3.0349,2.9635,2.8907,2.8197,2.7457,2.6762,2.6241,2.5981,2.5969,2.6187,2.6618,2.7238,2.823,3.0105,3.3293,3.7201,39.6,47.08,60.4,45.7,50CL,6/28/2011,11:44:12,0,0,65280,N
50B14A,2.2529,2.266,2.2846,2.3183,2.3634,2.4099,2.4427,2.4684,2.5015,2.5515,2.6225,2.7045,2.8005,2.9167,3.0113,3.0319,3.0836,3.1974,3.273,3.2855,3.2655,3.2305,3.1893,3.1393,3.0841,3.0254,2.9553,2.8829,2.8243,2.7899,2.7781,2.7878,2.8196,2.8726,2.9652,3.1482,3.4635,3.8395,39.6,41.5,60.4,41,50CL,6/29/2011,10:25:05,0,0,65280,Y
50B15A,2.2648,2.2772,2.2938,2.3252,2.3681,2.4128,2.4444,2.4683,2.4983,2.5426,2.6047,2.6755,2.7565,2.8549,2.9419,2.9792,3.0506,3.1744,3.2523,3.2632,3.2392,3.1977,3.1485,3.0907,3.0289,2.9657,2.8955,2.8257,2.7696,2.7367,2.7259,2.7364,2.7678,2.819,2.909,3.088,3.3967,3.7647,43.6,44.13,56.4,44.3,50CL,7/05/2011,10:34:01,0,0,65280,Y
50B16A,2.3629,2.3434,2.3425,2.3666,2.4071,2.4512,2.4817,2.5053,2.5374,2.5873,2.6589,2.7406,2.8338,2.9459,3.0417,3.0787,3.1517,3.2822,3.3632,3.371,3.3413,3.2934,3.2378,3.1737,3.106,3.0375,2.962,2.8883,2.8311,2.8005,2.7951,2.8132,2.8542,2.9168,3.02,3.2165,3.5487,3.9393,44.6,43.43,55.4,44.5,50CL,6/30/2011,12:32:11,0,0,65280,N
50B16A,2.5574,2.5777,2.6036,2.6448,2.6991,2.7568,2.7998,2.834,2.8742,2.9293,3.0031,3.0852,3.1766,3.2864,3.3906,3.4533,3.5584,3.723,3.8278,3.8451,3.8161,3.7623,3.6962,3.6185,3.5362,3.4535,3.3659,3.2821,3.2158,3.1771,3.1651,3.1785,3.2163,3.2769,3.3827,3.5957,3.9777,4.5253,36.7,49.25,63.3,53,50CL,7/04/2011,11:01:08,0,0,65280,N
50B17A,2.40011,2.41412,2.43598,2.47438,2.52461,2.57624,2.61353,2.64326,2.68021,2.73346,2.80726,2.89187,2.98877,3.10375,3.19808,3.22448,3.28389,3.40293,3.47931,3.48958,3.46673,3.42918,3.38637,3.33587,3.2809,3.22298,3.15435,3.08361,3.02603,2.99145,2.97876,2.98728,3.01751,3.06852,3.15984,3.34097,3.64748,3.98427,14.8,40.93,85.2,7,1:36,-1,-173,0,0,65280,Y
50B17B,2.36241,2.37052,2.389,2.42521,2.47344,2.52324,2.55945,2.58848,2.62482,2.67731,2.74997,2.83352,2.92902,3.04195,3.13387,3.15784,3.21293,3.32638,3.39938,3.40917,3.38722,3.35136,3.3108,3.26282,3.21053,3.15523,3.08953,3.02162,2.96658,2.93388,2.92202,2.93066,2.95985,3.00906,3.0968,3.27208,3.5699,3.90337,14.8,40.93,85.2,7,1:39,-1,-177,0,0,65280,Y
50B18A,2.06029,2.06857,2.08167,2.10948,2.14753,2.18591,2.21182,2.23165,2.2595,2.30463,2.37091,2.44773,2.53805,2.64695,2.72695,2.72638,2.75329,2.83964,2.89935,2.91118,2.89898,2.87664,2.85087,2.81755,2.77875,2.73501,2.67781,2.61621,2.56586,2.53664,2.52682,2.53595,2.565,2.61369,2.69846,2.86254,3.13794,3.44997,54.5,36.13,45.5,8,11:54,-1,-169,0,0,65280,N
50B18B,1.97306,1.97856,1.98915,2.01502,2.05106,2.0875,2.11158,2.12947,2.15496,2.19673,2.25862,2.33032,2.41488,2.51687,2.59186,2.59414,2.62395,2.70815,2.76338,2.77115,2.75604,2.73225,2.70627,2.67452,2.6386,2.59871,2.54691,2.49126,2.44608,2.42032,2.4127,2.42283,2.45173,2.49933,2.58112,2.73924,3.00357,3.30457,54.5,36.13,45.5,8,11:57,-1,-177,0,0,65280,Y
50B19A,2.2907,2.2583,2.2491,2.269,2.3052,2.3434,2.3688,2.3886,2.4177,2.465,2.5344,2.6151,2.7095,2.8233,2.9126,2.9274,2.9711,3.0715,3.1316,3.1307,3.1005,3.0587,3.0139,2.9633,2.91,2.8549,2.79,2.724,2.6721,2.6441,2.6383,2.6536,2.6901,2.747,2.8414,3.0218,3.3267,3.6857,48.45,40.55,51.55,37.5,50CL,7/06/2011,12:23:14,0,0,65280,N
50B22A,2.20486,2.21295,2.2296,2.26241,2.30622,2.35129,2.38332,2.40867,2.44104,2.48913,2.55682,2.63471,2.72448,2.83229,2.91923,2.93627,2.97992,3.07978,3.14489,3.15346,3.13391,3.10249,3.06722,3.02519,2.97908,2.93008,2.87021,2.8075,2.75643,2.72625,2.71534,2.72307,2.75036,2.79644,2.87883,3.0429,3.32339,3.63966,49.2,40,50.8,25,11:13,-1,-170,0,0,65280,Y
50B22A,2.3779,2.3945,2.416,2.4523,2.4999,2.5489,2.584,2.6118,2.6467,2.6981,2.7701,2.8525,2.9465,3.0592,3.1531,3.179,3.2379,3.3592,3.4398,3.4541,3.4335,3.3959,3.3509,3.2958,3.2352,3.171,3.0959,3.019,2.9561,2.9181,2.9034,2.9115,2.9426,2.9958,3.0909,3.2812,3.6119,4.0232,47.3,41.43,52.7,42.3,50CL,7/04/2011,2:09:52,0,0,65280,N
