SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Product,Exclude,
95C27A,1.85560,1.78880,1.75120,1.74720,1.76220,1.78370,1.79760,1.80570,1.81710,1.83510,1.85890,1.88390,1.90620,1.93180,1.97410,2.04100,2.14040,2.24030,2.28260,2.27170,2.23140,2.17370,2.10680,2.03640,1.96840,1.90820,1.85860,1.82050,1.79510,1.78520,1.79090,1.81050,1.84080,1.88020,1.94260,2.06120,2.25960,2.47910,2.50000,76.20000,97.50000,CL,Y,
95C20A,1.88570,1.86000,1.85290,1.86990,1.90130,1.93760,1.96560,1.98670,2.00930,2.03710,2.06960,2.10160,2.12940,2.15980,2.20650,2.27790,2.38230,2.49040,2.54540,2.54920,2.52390,2.48050,2.42690,2.36880,2.31180,2.26070,2.21780,2.18360,2.15900,2.14650,2.14620,2.15660,2.17550,2.20250,2.25160,2.35600,2.53910,2.74710,2.50000,76.10000,97.50000,CL,Y,
95C26A,1.75570,1.71580,1.69790,1.70690,1.73110,1.76040,1.78220,1.79790,1.81570,1.83890,1.86690,1.89510,1.91990,1.94680,1.98860,2.05260,2.14590,2.24070,2.28600,2.28460,2.25700,2.21340,2.16110,2.10530,2.05110,2.00290,1.96290,1.93160,1.90980,1.89970,1.90160,1.91400,1.93510,1.96400,2.01360,2.11460,2.28850,2.48580,3.30000,75.50000,96.80000,CL,Y,
95B29A,1.62370,1.63020,1.63630,1.65580,1.68630,1.72130,1.74670,1.76410,1.78260,1.80600,1.83400,1.86120,1.88400,1.91180,1.96240,2.04610,2.17250,2.30770,2.38140,2.39340,2.37120,2.32750,2.27150,2.20900,2.14630,2.08910,2.04030,2.00120,1.97350,1.96070,1.96340,1.98030,2.00850,2.04740,2.11210,2.23900,2.45290,2.68740,3.20000,75.50000,96.80000,CL,Y,
95HSB22B,1.64610,1.63710,1.63590,1.65250,1.68140,1.71450,1.73890,1.75590,1.77420,1.79750,1.82530,1.85220,1.87430,1.89950,1.94450,2.01910,2.13080,2.24770,2.30970,2.31840,2.29690,2.25630,2.20450,2.14730,2.09060,2.03930,1.99620,1.96230,1.93840,1.92740,1.92970,1.94380,1.96720,1.99950,2.05450,2.16480,2.35220,2.56010,3.20000,75.50000,96.80000,CL,Y,
95HSB22A,1.71280,1.70190,1.69980,1.71650,1.74600,1.78050,1.80570,1.82310,1.84200,1.86560,1.89380,1.92180,1.94570,1.97330,2.02200,2.10250,2.22320,2.34990,2.41700,2.42550,2.40120,2.35610,2.29910,2.23630,2.17380,2.11740,2.07000,2.03270,2.00640,1.99440,1.99680,2.01200,2.03710,2.07080,2.12840,2.24500,2.44540,2.66800,3.20000,75.50000,96.80000,CL,Y,
95B29A,1.62370,1.63020,1.63630,1.65580,1.68630,1.72130,1.74670,1.76410,1.78260,1.80600,1.83400,1.86120,1.88400,1.91180,1.96240,2.04610,2.17250,2.30770,2.38140,2.39340,2.37120,2.32750,2.27150,2.20900,2.14630,2.08910,2.04030,2.00120,1.97350,1.96070,1.96340,1.98030,2.00850,2.04740,2.11210,2.23900,2.45290,2.68740,3.20000,75.50000,96.80000,CL,Y,
95C9A,1.71770,1.66260,1.63180,1.63120,1.64830,1.67140,1.68680,1.69620,1.70860,1.72780,1.75310,1.77900,1.80160,1.82750,1.87090,1.93960,2.04150,2.14540,2.19340,2.18890,2.15540,2.10420,2.04360,1.97890,1.91610,1.86020,1.81400,1.77870,1.75550,1.74770,1.75500,1.77610,1.80810,1.84960,1.91440,2.03440,2.23140,2.44640,3.40000,75.40000,96.60000,CL,Y,
B37,1.96440,1.90820,1.87890,1.88200,1.90550,1.93620,1.95770,1.97170,1.98870,2.01280,2.04400,2.07670,2.10680,2.14180,2.19710,2.28110,2.40530,2.53610,2.59680,2.58800,2.54290,2.47730,2.40230,2.32390,2.24860,2.18190,2.12660,2.08380,2.05480,2.04290,2.04840,2.07010,2.10400,2.14930,2.22150,2.36050,2.59470,2.85550,3.40000,75.40000,96.60000,CL,Y,
95B18A,1.96480,1.91200,1.88500,1.89000,1.91380,1.94370,1.96460,1.97840,1.99490,2.01800,2.04730,2.07770,2.10570,2.13860,2.19080,2.27120,2.39010,2.51320,2.57020,2.56370,2.52290,2.46160,2.38960,2.31310,2.23880,2.17260,2.11730,2.07430,2.04490,2.03260,2.03740,2.05760,2.08970,2.13210,2.20010,2.33200,2.55510,2.80000,3.50000,75.20000,96.50000,CL,Y,
