SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Cal3,Product,Exclude,Exclude,Exclude,Exclude
95C27A,1.8556,1.7888,1.7512,1.7472,1.7622,1.7837,1.7976,1.8057,1.8171,1.8351,1.8589,1.8839,1.9062,1.9318,1.9741,2.041,2.1404,2.2403,2.2826,2.2717,2.2314,2.1737,2.1068,2.0364,1.9684,1.9082,1.8586,1.8205,1.7951,1.7852,1.7909,1.8105,1.8408,1.8802,1.9426,2.0612,2.2596,2.4791,2.5,76.2,97.5,CL,N,N,N,N
95C20A,1.8857,1.86,1.8529,1.8699,1.9013,1.9376,1.9656,1.9867,2.0093,2.0371,2.0696,2.1016,2.1294,2.1598,2.2065,2.2779,2.3823,2.4904,2.5454,2.5492,2.5239,2.4805,2.4269,2.3688,2.3118,2.2607,2.2178,2.1836,2.159,2.1465,2.1462,2.1566,2.1755,2.2025,2.2516,2.356,2.5391,2.7471,2.5,76.1,97.5,CL,Y,Y,Y,Y
95C26A,1.7557,1.7158,1.6979,1.7069,1.7311,1.7604,1.7822,1.7979,1.8157,1.8389,1.8669,1.8951,1.9199,1.9468,1.9886,2.0526,2.1459,2.2407,2.286,2.2846,2.257,2.2134,2.1611,2.1053,2.0511,2.0029,1.9629,1.9316,1.9098,1.8997,1.9016,1.914,1.9351,1.964,2.0136,2.1146,2.2885,2.4858,3.3,75.5,96.8,CL,Y,Y,Y,Y
95B29A,1.6237,1.6302,1.6363,1.6558,1.6863,1.7213,1.7467,1.7641,1.7826,1.806,1.834,1.8612,1.884,1.9118,1.9624,2.0461,2.1725,2.3077,2.3814,2.3934,2.3712,2.3275,2.2715,2.209,2.1463,2.0891,2.0403,2.0012,1.9735,1.9607,1.9634,1.9803,2.0085,2.0474,2.1121,2.239,2.4529,2.6874,3.2,75.5,96.8,CL,Y,Y,Y,Y
95HSB22B,1.6461,1.6371,1.6359,1.6525,1.6814,1.7145,1.7389,1.7559,1.7742,1.7975,1.8253,1.8522,1.8743,1.8995,1.9445,2.0191,2.1308,2.2477,2.3097,2.3184,2.2969,2.2563,2.2045,2.1473,2.0906,2.0393,1.9962,1.9623,1.9384,1.9274,1.9297,1.9438,1.9672,1.9995,2.0545,2.1648,2.3522,2.5601,3.2,75.5,96.8,CL,N,N,N,N
95HSB22A,1.7128,1.7019,1.6998,1.7165,1.746,1.7805,1.8057,1.8231,1.842,1.8656,1.8938,1.9218,1.9457,1.9733,2.022,2.1025,2.2232,2.3499,2.417,2.4255,2.4012,2.3561,2.2991,2.2363,2.1738,2.1174,2.07,2.0327,2.0064,1.9944,1.9968,2.012,2.0371,2.0708,2.1284,2.245,2.4454,2.668,3.2,75.5,96.8,CL,N,N,N,N
95B29A,1.6237,1.6302,1.6363,1.6558,1.6863,1.7213,1.7467,1.7641,1.7826,1.806,1.834,1.8612,1.884,1.9118,1.9624,2.0461,2.1725,2.3077,2.3814,2.3934,2.3712,2.3275,2.2715,2.209,2.1463,2.0891,2.0403,2.0012,1.9735,1.9607,1.9634,1.9803,2.0085,2.0474,2.1121,2.239,2.4529,2.6874,3.2,75.5,96.8,CL,Y,Y,Y,Y
95C9A,1.7177,1.6626,1.6318,1.6312,1.6483,1.6714,1.6868,1.6962,1.7086,1.7278,1.7531,1.779,1.8016,1.8275,1.8709,1.9396,2.0415,2.1454,2.1934,2.1889,2.1554,2.1042,2.0436,1.9789,1.9161,1.8602,1.814,1.7787,1.7555,1.7477,1.755,1.7761,1.8081,1.8496,1.9144,2.0344,2.2314,2.4464,3.4,75.4,96.6,CL,N,N,N,N
B37,1.9644,1.9082,1.8789,1.882,1.9055,1.9362,1.9577,1.9717,1.9887,2.0128,2.044,2.0767,2.1068,2.1418,2.1971,2.2811,2.4053,2.5361,2.5968,2.588,2.5429,2.4773,2.4023,2.3239,2.2486,2.1819,2.1266,2.0838,2.0548,2.0429,2.0484,2.0701,2.104,2.1493,2.2215,2.3605,2.5947,2.8555,3.4,75.4,96.6,CL,Y,Y,Y,Y
95B18A,1.9648,1.912,1.885,1.89,1.9138,1.9437,1.9646,1.9784,1.9949,2.018,2.0473,2.0777,2.1057,2.1386,2.1908,2.2712,2.3901,2.5132,2.5702,2.5637,2.5229,2.4616,2.3896,2.3131,2.2388,2.1726,2.1173,2.0743,2.0449,2.0326,2.0374,2.0576,2.0897,2.1321,2.2001,2.332,2.5551,2.8,3.5,75.2,96.5,CL,N,N,N,N
95C1A,1.7715,1.7799,1.7909,1.8151,1.8491,1.8865,1.9158,1.9377,1.9601,1.9861,2.0153,2.0428,2.0654,2.0904,2.1324,2.2009,2.3038,2.4125,2.4724,2.4842,2.468,2.4333,2.3874,2.3356,2.2833,2.235,2.1931,2.1584,2.1318,2.1164,2.1121,2.118,2.1321,2.1542,2.1983,2.2962,2.4711,2.6703,3.6,75.2,96.4,CL,N,N,N,N
95B11A,1.9333,1.8608,1.8206,1.8162,1.8322,1.8552,1.8703,1.8793,1.892,1.9122,1.9394,1.9678,1.9935,2.0229,2.0686,2.1379,2.2408,2.3461,2.3921,2.3822,2.3413,2.2812,2.2104,2.135,2.0615,1.9957,1.9408,1.8983,1.8701,1.8595,1.8665,1.8892,1.9242,1.9698,2.0403,2.1712,2.3868,2.6236,3.7,75,96.3,CL,N,N,N,N
95C12A,1.8627,1.8024,1.7703,1.7707,1.7891,1.8136,1.8306,1.8414,1.8551,1.8751,1.9009,1.9279,1.9524,1.98,2.023,2.0893,2.1869,2.2856,2.3294,2.3213,2.2844,2.2299,2.166,2.0985,2.0329,1.9745,1.9259,1.8882,1.8624,1.8516,1.8556,1.8729,1.9004,1.9369,1.9955,2.1104,2.304,2.5195,3.7,75.1,96.3,CL,N,N,N,N
95B13A,2.02894,1.95429,1.91368,1.90975,1.9272,1.95269,1.9699,1.9804,1.99454,2.01678,2.0465,2.07748,2.10581,2.1389,2.1912,2.27089,2.3892,2.51199,2.56688,2.55641,2.51037,2.44286,2.36383,2.27987,2.19836,2.12569,2.06512,2.01866,1.98809,1.97688,1.98493,2.01041,2.04949,2.10007,2.17782,2.32182,2.55865,2.81793,3.8,75,96.2,CL,N,N,N,N
95B17A,1.94942,1.88214,1.84492,1.84221,1.85967,1.88439,1.90049,1.90971,1.92241,1.94259,1.96975,1.99836,2.02496,2.05662,2.10714,2.18428,2.29894,2.4174,2.46965,2.4589,2.4143,2.34993,2.27558,2.19733,2.12192,2.05517,1.99993,1.95777,1.93021,1.92036,1.92832,1.95228,1.9889,2.03608,2.10912,2.24586,2.47218,2.72012,3.8,75,96.2,CL,N,N,N,N
95B17A,1.7146,1.6691,1.6435,1.6459,1.6656,1.6915,1.7083,1.7179,1.7304,1.7497,1.7757,1.8027,1.8268,1.856,1.9062,1.9869,2.107,2.2318,2.2925,2.2917,2.2577,2.2039,2.1397,2.0711,2.0044,1.9452,1.8967,1.86,1.8366,1.8296,1.8393,1.8639,1.9,1.9457,2.0162,2.1473,2.3628,2.5986,3.8,75,96.2,CL,N,N,N,N
95B17B,1.96973,1.89616,1.85448,1.8489,1.86429,1.8875,1.90215,1.9101,1.92191,1.94166,1.96888,1.99756,2.02403,2.05561,2.1066,2.18478,2.30125,2.42181,2.47461,2.46266,2.41598,2.34895,2.27151,2.18996,2.11133,2.04167,1.98399,1.94005,1.9115,1.90172,1.91072,1.93667,1.9758,2.02636,2.1035,2.24534,2.47841,2.73202,3.8,75,96.2,CL,N,N,N,N
