SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6*,Sp7*,Sp8*,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Exclude,Exclude,Exclude
11621.14.8,2.71755,2.63379,2.56109,2.50125,2.44689,2.39527,2.34209,2.2898,2.2449,2.21436,2.20435,2.21642,2.23488,2.23523,2.21061,2.18277,2.18145,2.2265,2.31038,2.40122,2.45757,2.47107,2.45893,2.43012,2.38824,2.34119,2.29323,2.245,2.19774,2.15598,2.12232,2.09961,2.08897,2.09154,2.12127,2.21025,2.37338,2.57932,14.9,11.6,N,N,N
11073.14.4,2.69368,2.61107,2.53931,2.4774,2.42349,2.37426,2.32576,2.2783,2.23752,2.20957,2.20035,2.21132,2.2288,2.23063,2.21002,2.18767,2.19071,2.23698,2.31825,2.40409,2.45714,2.46966,2.45751,2.43005,2.39083,2.3472,2.30265,2.25897,2.21588,2.17815,2.14795,2.12817,2.11862,2.12148,2.14915,2.23265,2.38688,2.58225,14.4,12.2,N,N,N
GC214007,2.727,2.67628,2.63331,2.59695,2.56403,2.53244,2.50048,2.47034,2.44736,2.43669,2.44228,2.46522,2.49405,2.5073,2.49424,2.47213,2.47123,2.51337,2.60264,2.7107,2.78742,2.81044,2.79725,2.76469,2.72125,2.67483,2.6289,2.58602,2.5441,2.50568,2.47308,2.4476,2.43157,2.42779,2.44665,2.51343,2.64651,2.83109,9.9,8.7,N,N,N
GC213062,2.79036,2.74193,2.70199,2.66914,2.63978,2.61131,2.58203,2.55421,2.53426,2.5288,2.54192,2.57451,2.61346,2.63501,2.62576,2.60484,2.60657,2.6555,2.75511,2.87378,2.95784,2.984,2.97122,2.93759,2.89283,2.84483,2.79696,2.75249,2.70903,2.66869,2.63414,2.60706,2.58934,2.58449,2.6043,2.67425,2.81334,3.00539,7.9,9,Y,Y,Y
2701023,2.58408,2.54026,2.501,2.46689,2.43633,2.4084,2.38149,2.35443,2.33248,2.32103,2.32394,2.34292,2.36906,2.38104,2.36718,2.34491,2.34287,2.38321,2.46373,2.55846,2.62601,2.64848,2.64048,2.61512,2.57801,2.53579,2.49431,2.4541,2.41421,2.37785,2.34881,2.32758,2.31507,2.3114,2.32388,2.37762,2.49961,2.67326,11.5975,11.6981,N,N,N
W2A,2.92722,2.85618,2.81314,2.77941,2.77198,2.71604,2.63457,2.53906,2.45359,2.39597,2.36097,2.35648,2.36232,2.36285,2.34068,2.31898,2.31602,2.36529,2.44263,2.5297,2.59268,2.59618,2.60432,2.57982,2.55588,2.50958,2.48876,2.43687,2.40897,2.37423,2.34371,2.33337,2.32599,2.31955,2.3492,2.4274,2.56945,2.74908,14.5,11.4,N,N,N
SW112.8.3,2.67013,2.62019,2.5783,2.54481,2.51672,2.4905,2.46082,2.42918,2.40385,2.39348,2.40483,2.43926,2.4797,2.49854,2.48503,2.46398,2.47129,2.52981,2.63391,2.74555,2.81121,2.82403,2.80439,2.76583,2.71478,2.65868,2.60131,2.54513,2.49296,2.44717,2.40764,2.37825,2.36028,2.35605,2.37893,2.45977,2.61779,2.82335,8.4,11,N,N,N
GC2601076,2.82609,2.77455,2.7295,2.69442,2.66293,2.63825,2.61811,2.59314,2.57128,2.56703,2.58514,2.62592,2.67822,2.71573,2.71682,2.69859,2.70106,2.75641,2.8675,3.00462,3.10914,3.1519,3.14663,3.11617,3.0717,3.0213,2.97117,2.92377,2.8752,2.82984,2.79199,2.76366,2.74548,2.74024,2.75478,2.81853,2.96021,3.17068,6.5,11.2,Y,Y,Y
11626.15.4,2.76529,2.67882,2.60379,2.54167,2.48534,2.4321,2.37795,2.32453,2.27846,2.24667,2.23568,2.24702,2.26506,2.26467,2.23966,2.21092,2.20809,2.25185,2.33473,2.4257,2.48275,2.497,2.486,2.45814,2.41674,2.36993,2.32185,2.27333,2.22558,2.18328,2.14908,2.12568,2.11477,2.11717,2.14689,2.23615,2.39918,2.60557,15.5,11.3,N,N,N
CAL5A,2.80332,2.72993,2.66558,2.61021,2.5616,2.51693,2.47131,2.4258,2.38658,2.36002,2.35222,2.3647,2.38373,2.38499,2.36332,2.33871,2.33751,2.37828,2.45656,2.5418,2.59306,2.60415,2.59333,2.56833,2.53078,2.48861,2.44565,2.4024,2.35883,2.31909,2.2873,2.26592,2.25617,2.25907,2.28761,2.37179,2.52724,2.7213,16.9,10.7,N,N,N
